site_name,registration_number,issuance_date,program_type,city_or_county,regional_office,permit_url,address,main_parcel,generator_count,generator_capacity_mw,fuel,operating_limits,pollutant_limits,source_file,is_northern_virginia,unverified_fields
"Corporate Office Properties, LP",11541,2008-05-16,,Russell County,SOUTHWEST,,,,,,,,,raw/deq_va/115413_DC_Permit.pdf,False,program_type;permit_url;address;generator_count;generator_capacity_mw
"DP Facilities Inc. South, LLC",11790,2016-08-23,Minor NSR,Wise County,SOUTHWEST,,,,,,diesel,,,raw/deq_va/11790_DC_Permit.pdf,False,permit_url;address;generator_count;generator_capacity_mw
,21527,2024-04-24,Title V,Mecklenburg County,PIEDMONT,,,,,,diesel,p. 12: Emissions Unit Operating Hours per Year Frequency of Observations for | p. 18: Emissions Unit Operating Hours per Year Frequency of Observations for | p. 22: Emissions Unit Operating Hours per Year Frequency of Observations for,p. 10: PM 0.4 lb/hr 0.2 lb/hr 0.4 lb/hr 0.6 lb/hr | p. 10: Nitrogen Oxides (as NO ) 51.1 lb/hr 19.4 lb/hr 29.6 lb/hr 42.3 lb/hr | p. 10: Carbon Monoxide 6.1 lb/hr 2.8 lb/hr 4.0 lb/hr 4.0 lb/hr,raw/deq_va/2152707_DC_TV_Permit.pdf,False,site_name;permit_url;address;generator_count;generator_capacity_mw
Microsoft Corporation – East Coast Data Center,21527,2023-09-19,New Source Review,Mecklenburg County,PIEDMONT,,,,,,diesel,,p. 9: PM 0.4 lb/hr 0.2 lb/hr 0.4 lb/hr 0.6 lb/hr | p. 9: Nitrogen Oxides (as NO ) 51.1 lb/hr 19.4 lb/hr 29.6 lb/hr 42.3 lb/hr | p. 9: Carbon Monoxide 6.1 lb/hr 2.8 lb/hr 4.0 lb/hr 4.0 lb/hr,raw/deq_va/2152715_DC_Permit.pdf,False,permit_url;address;generator_count;generator_capacity_mw
TECfusions Clarksville LLC,30142,2025-02-12,New Source Review,Mecklenburg County,,,,,,,diesel,"p. 7: shall not operate more than 100 hours per year, calculated monthly as the sum of each",,raw/deq_va/3014202_DC_Permit.pdf,False,regional_office;permit_url;address;generator_count;generator_capacity_mw
Equinix,41064,2018-08-10,Minor NSR,Culpeper County,SOUTHWEST,,,,,,diesel,,p. 11: Nitrogen Oxides (as NO2) 53.7 tons per year | p. 11: Carbon Monoxide (CO) 22.0 tons per year | p. 11: Particulate Matter (PM ) 1.6 tons per year,raw/deq_va/41064_DC_Permit.pdf,False,permit_url;address;generator_count;generator_capacity_mw
"Quality Investment Properties Richmond, LLC",51232,2024-06-24,Minor NSR,Henrico County,Piedmont,,,,,,diesel,,p. 11: PM 0.6 lb/hr 0.05 tons/yr | p. 11: PM10 0.7 lb/hr 0.06 tons/yr | p. 11: PM2.5 0.7 lb/hr 0.06 tons/yr,raw/deq_va/51232_DC_Permit.pdf,False,permit_url;address;generator_count;generator_capacity_mw
,,,,,,,,,,,,,,raw/deq_va/52173_DC_Permit.pdf,False,site_name;registration_number;issuance_date;program_type;city_or_county;regional_office;permit_url;address;generator_count;generator_capacity_mw
Bank of America,52221,2026-01-12,New Source Review,Henrico County,Piedmont,,,,,,diesel,p. 7: 2. Operating Hours - The generators shall not operate more than the following hours per year,p. 9: Nitrogen Oxides (as NO ) 1.1 lb/hr 1.7 tons/yr | p. 9: Carbon Monoxide 1.22 lb/hr 3.2 tons/yr | p. 9: Particulate Matter 1.6 lb/hr 0.5 tons/yr,raw/deq_va/522219_DC_Permit.pdf,False,permit_url;address;generator_count;generator_capacity_mw
"Capital One Services, Inc",52281,2026-01-22,New Source Review,Henrico County,,,,,,,,"p. 5: 1. Operating limits - Each generator shall not operate more than 240 hours per year, calculated",,raw/deq_va/52281_DC_Permit.pdf,False,regional_office;permit_url;address;generator_count;generator_capacity_mw
