Region,Reg #,Facility Name,Classification,FIPS,County,SIC,NAICS,CO Emissions in Tons,NH3 Emissions in Tons,NOX Emissions in Tons,PM 10 Emissions in Tons,PM 2.5 Emissions in Tons,SO2 Emissions in Tons,VOC Emissions in Tons,Facility Total
BRRO,20124,Virginia Tech,Major/Potential Major,121,Montgomery County,8221,611310,115.36,0.00,141.12,269.94,1.98,3.55,2.43,534.38
BRRO,20131,RES dba Steel Dynamics Roanoke Bar Division,Major/Potential Major,770,Roanoke City,3312,331111,500.30,0.00,133.48,63.22,7.52,81.86,80.96,867.33
BRRO,20225,Lhoist North America - Kimballton Plant,Major/Potential Major,071,Giles County,3274,327410,6274.68,0.00,1476.68,6118.32,12.96,143.24,135.41,14161.29
BRRO,20232,Roanoke Cement Company,Major/Potential Major,023,Botetourt County,3241,327310,1389.83,0.00,1966.53,2299.52,64.13,178.25,81.49,5979.76
BRRO,20304,Celanese Acetate LLC,Major/Potential Major,071,Giles County,2823,325221,357.70,0.00,576.85,845.67,587.12,101.87,86.66,2555.86
BRRO,20328,WestRock Virginia Corporation - Covington,Major/Potential Major,580,Covington City,2611,322121,1241.47,0.00,3108.93,6229.65,1013.80,640.28,573.38,12807.51
BRRO,20329,Ingevity Virginia Corporation,Major/Potential Major,580,Covington City,2819,325998,101.42,0.00,102.22,0.09,68.63,26.07,26.07,324.51
BRRO,20460,American Electric Power Glen Lyn,True Minor/Shutdown,071,Giles County,4911,221112,7.82,0.00,168.45,469.87,0.88,8.04,2.64,657.70
BRRO,20543,RADVA Corporation - Radford Plant,Major/Potential Major,750,Radford City,3086,326140,3.43,0.00,4.09,0.02,104.86,0.31,0.31,113.02
BRRO,20656,US Army - RAAP,Major/Potential Major,121,Montgomery County,2892,325920,44.90,0.00,1215.30,3165.59,1307.41,87.62,24.70,5845.52
BRRO,20765,Volvo Trucks - New River Valley Plant,Major/Potential Major,155,Pulaski County,3711,336120,15.94,0.00,19.31,0.11,413.52,23.91,23.90,496.69
BRRO,21526,NOVEC Energy Production Halifax County Biomass,Major/Potential Major,083,Halifax County,4911,221119,168.98,0.00,133.57,0.54,27.77,47.22,0.00,378.08
BRRO,30106,Goodyear Tire and Rubber Company Danville,Major/Potential Major,590,Danville City,3011,326211,55.08,0.00,178.34,14.40,435.89,40.34,7.70,731.75
BRRO,30294,CPFilms Inc.,Major/Potential Major,089,Henry County,3083,326130,8.73,0.00,10.39,0.06,284.59,0.79,0.79,305.35
BRRO,30389,GP Big Island LLC,Major/Potential Major,019,Bedford County,2631,322130,606.42,0.00,437.90,39.35,330.14,146.50,99.63,1659.94
BRRO,30397,Griffin Pipe Products Co LLC,Major/Potential Major,680,Lynchburg City,3321,331511,204.72,0.00,56.87,43.47,253.30,61.96,26.94,647.26
BRRO,30515,Southern Finishing,Major/Potential Major,690,Martinsville City,2511,337122,7.33,0.00,6.19,1.20,172.60,5.53,3.53,196.38
BRRO,30549,Greif Packaging LLC,Major/Potential Major,009,Amherst County,2631,322130,489.85,0.00,427.52,5.17,160.47,32.17,30.01,1145.19
BRRO,30718,Owens-Brockway Glass Container Inc,Major/Potential Major,143,Pittsylvania County,3221,327213,0.79,0.00,134.50,155.72,5.70,25.07,25.07,346.85
BRRO,30845,Norcraft Companies,Major/Potential Major,680,Lynchburg City,2434,337110,0.00,0.00,0.00,0.00,197.87,11.54,0.00,209.41
BRRO,30859,Dominion - Altavista Power Station,Major/Potential Major,031,Campbell County,4911,221112,293.25,0.00,217.50,11.20,2.97,21.85,19.27,566.04
BRRO,30861,Dominion - Mecklenburg Power Station,Major/Potential Major,117,Mecklenburg County,4911,221112,41.80,0.00,668.10,290.30,4.97,42.57,1.25,1048.99
BRRO,30864,Transco Gas Pipe Line Corp Station 165,Major/Potential Major,143,Pittsylvania County,4922,486210,69.18,0.00,332.30,0.23,17.06,3.75,3.75,426.27
BRRO,30867,Dominion/ODEC - Clover Power Station,Major/Potential Major,083,Halifax County,4911,221112,277.24,0.00,8413.47,1774.12,87.31,875.22,67.05,11494.41
BRRO,30871,Dominion - Pittsylvania Power Station,Major/Potential Major,143,Pittsylvania County,4911,221119,612.51,0.00,161.50,7.91,18.62,42.76,5.63,848.93
BRRO,30903,Georgia-Pacific Wood Products LLC,Major/Potential Major,031,Campbell County,2493,321219,183.68,0.00,182.74,19.97,116.87,132.17,120.84,756.26
BRRO,30905,"Huber Engineered Woods, LLC",Major/Potential Major,083,Halifax County,2493,321219,120.78,0.00,132.37,14.96,122.27,104.24,104.24,598.86
BRRO,30996,Morgan Lumber Company,Major/Potential Major,037,Charlotte County,2421,321113,56.59,0.00,20.75,2.36,113.79,0.00,0.00,193.49
BRRO,31013,"Bassett Furniture Industries, Inc., Table Plant 11",Major/Potential Major,089,Henry County,2511,337122,0.38,0.00,0.45,0.00,147.25,0.71,0.71,149.50
BRRO,31039,ArborTech Forest Products Inc,Major/Potential Major,135,Nottoway County,2421,321113,54.92,0.00,54.43,4.32,145.37,32.95,15.05,307.04
BRRO,32004,Dominion - Bear Garden CT Station,Major/Potential Major,029,Buckingham County,4911,221112,18.90,0.00,100.88,7.51,2.66,20.95,20.95,171.85
BRRO,32035,Elkay Wood Product Company,Major/Potential Major,143,Pittsylvania County,2434,337110,0.58,0.00,1.32,0.05,146.58,5.31,0.05,153.89
NRO,40075,Bingham and Taylor Corp - Div of Virginia Ind,Major/Potential Major,047,Culpeper County,3321,331511,393.24,0.00,1.65,3.36,36.75,11.63,8.27,454.90
NRO,40728,MASCO Cabinetry LLC - Culpeper,Major/Potential Major,047,Culpeper County,2434,337110,0.72,0.00,0.85,0.06,124.54,1.04,1.04,128.25
NRO,40808,Dominion - Gordonsville Power Station,Major/Potential Major,109,Louisa County,4911,221112,19.40,0.00,144.81,9.50,63.22,31.55,34.04,302.52
