Region,Reg #,Facility Name,Classification,FIPS,County,SIC,NAICS,CO Emissions in Tons,NH3 Emissions in Tons,NO2 Emissions in Tons,PM 10 Emissions in Tons,PM 2.5 Emissions in Tons,SO2 Emissions in Tons,VOC Emissions in Tons,Facility Total
BRRO,20123,Yokohama Tire Manufacturing Virginia LLC,Major/Potential Major,775,Salem City,3011,326211,10.05,0.00,6.31,0.20,61.07,30.09,30.08,137.80
BRRO,20124,Virginia Tech,Major/Potential Major,121,Montgomery County,8221,611310,115.36,0.00,141.11,269.90,1.98,3.55,2.43,534.33
BRRO,20131,RES dba Steel Dynamics Roanoke Bar Division,Major/Potential Major,770,Roanoke City,3312,331110,500.30,0.00,133.41,63.22,7.52,81.86,80.96,867.27
BRRO,20225,Lhoist North America - Kimballton Plant,Major/Potential Major,071,Giles County,3274,327410,6274.68,0.00,1476.68,6118.32,12.96,143.02,135.40,14161.06
BRRO,20232,Roanoke Cement Company,Major/Potential Major,023,Botetourt County,3241,327310,1389.83,0.00,1966.50,2299.52,64.13,178.25,81.49,5979.74
BRRO,20304,Celanese Acetate LLC,Major/Potential Major,071,Giles County,2823,325220,357.70,0.00,576.84,845.07,587.12,101.87,86.66,2555.25
BRRO,20328,WestRock Virginia Corporation - Covington,Major/Potential Major,580,Covington City,2611,322121,1241.47,0.00,3108.93,6229.65,1013.80,640.28,296.21,12530.34
BRRO,20329,Ingevity Virginia Corporation,Major/Potential Major,580,Covington City,2819,325998,101.42,0.00,102.22,0.09,68.63,26.07,26.07,324.50
BRRO,20338,New Millennium Building Systems,Major/Potential Major,161,Roanoke County,3441,332312,0.14,0.00,0.71,0.00,27.98,1.14,1.14,31.11
BRRO,20447,"General Shale Brick, Inc.",Major/Potential Major,023,Botetourt County,3251,327120,39.50,0.00,25.18,46.41,1.19,11.18,11.18,134.65
BRRO,20460,American Electric Power Glen Lyn,True Minor,071,Giles County,4911,221112,7.82,0.00,168.45,469.87,0.88,8.04,2.64,657.70
BRRO,20469,Akzo Nobel Coatings Inc - Roanoke,Synthetic Minor,770,Roanoke City,2851,325510,0.03,0.00,0.04,0.00,54.55,3.16,3.16,60.95
BRRO,20523,Frank Chervan Incorporated - 20523,Major/Potential Major,770,Roanoke City,2512,337121,3.57,0.00,2.92,0.15,32.27,3.32,2.70,44.93
BRRO,20543,RADVA Corporation - Radford Plant,Major/Potential Major,750,Radford City,3086,326140,3.43,0.00,4.09,0.02,104.86,0.31,0.31,113.02
BRRO,20544,Koppers Incorporated Salem Plant,Synthetic Minor,161,Roanoke County,2491,321114,12.05,0.00,8.77,1.26,16.00,14.74,8.77,61.58
BRRO,20573,Corning Inc Blacksburg,Synthetic Minor,121,Montgomery County,3297,327120,24.98,0.00,42.90,3.26,34.67,21.75,21.76,149.32
BRRO,20615,Carilion Roanoke Memorial Hospital,Synthetic Minor,770,Roanoke City,8062,622110,6.98,0.00,10.62,0.25,0.48,0.65,0.65,19.62
BRRO,20656,US Army - RAAP,Major/Potential Major,121,Montgomery County,2892,325920,44.90,0.00,1215.21,3165.59,1307.41,87.62,24.70,5845.44
BRRO,20736,Rowe Fine Furniture Inc - Salem,Synthetic Minor,775,Salem City,2426,337215,41.46,0.00,4.57,0.23,4.27,45.67,45.67,141.87
BRRO,20765,Volvo Trucks - New River Valley Plant,Major/Potential Major,155,Pulaski County,3711,336120,15.94,0.00,19.31,0.11,413.52,23.91,23.90,496.69
BRRO,20797,Sisson and Ryan Quarry,Synthetic Minor,121,Montgomery County,1422,212312,9.34,0.00,56.94,9.67,0.97,3.01,3.01,82.93
BRRO,20991,Kinder Morgan Southeast - Roanoke #1,Synthetic Minor,770,Roanoke City,4226,493190,0.00,0.00,0.00,0.00,35.20,0.00,0.00,35.20
