Case Number,Type,Status,Project Name,Applied Date,Expiration Date,Completion Date,Module Name,Address,Main Parcel,Description
"PSUB-2017-0013      ","Site Plan Premeeting","Completed","","04/13/2017","","","Plan","","194199296000","DATA CENTER : Data Center"
"EPLAN-2024-0081","Engineering Plan","In Review","","06/20/2024","","","Plan","45449 E SEVERN WAY  STERLING VA 20166","030155049000","(Conditional Approval) DULLES DESIGN DATA CENTER: Proposed 2-Story Data Center (STPL)"
"PBOND-2026-0142","Performance Bond","Submitted - Online","","09/17/2026","","","Plan","42455  ALLEGRO LN ALDIE VA 20105","202260981000","ZOPA bond for Data Center"
"PBOND-2026-0143","Performance Bond","Submitted - Online","","09/17/2026","","","Plan","42455  ALLEGRO LN ALDIE VA 20105","202260981000","LSDOPA bond for Data Center site"
"EPLAN-2026-0039","Engineering Plan","In Review","","03/31/2026","","","Plan","22130  LOUDOUN COUNTY PKWY  ASHBURN VA 20147","089309997000","LC9 & LC10 DATA CENTER - CONSTRUCTION OF A TWO (2) 2-STORY DATA CENTER BUILDINGS AND ASSOCIATED INFRASTRUCTURE"
"GBOND-2026-0063","Grading - Grading Bond","Active Bond","","03/27/2026","","","Plan","41567 BRIARFIELD LN ALDIE VA 20105","202285740000","Early grading construction plan and profiles for a data center."
"EPLAN-2024-0211","Engineering Plan","In Review","","12/30/2024","","","Plan","19473  SAMUELS MILL CT  LEESBURG VA 20175","150270553000","SAMUELS MILL ASSEMBLAGE: 2-story data center and associated infrastructure."
"ZCOR-2000-0095      ","Zoning Correspondence - Determinations & Verifications (ZCOR)","Completed","","03/19/2000","","","Plan","","","PSINET'S DATA CENTER : Request for Zoning Administrator's Opinion regarding PSINet's Data    Center at ""University Center"" in Loudoun County, Virginia"
"SPEX-2011-0004      ","Special Exception","Approved","","03/01/2011","","","Plan","1506 MORAN RD STERLING VA 20166","045458629000","PROJECT COLUMBIA DATA CENTER : A special exception for 100% data center."
"EPLAN-2023-0111","Engineering Plan","Approved","","11/09/2023","","","Plan","24331  HOWLING ROOSTER LN  STERLING VA 20166","162176713000","PROJECT MOTION PH 3: Site Plan (STMP) for Data Center and support facilities."
"EPLAN-2026-0110","Engineering Plan","Submitted - Online","","07/28/2026","","","Plan","20085  ACADEMIC WAY  ASHBURN VA 20147","039466559000","BRIDGEFIELD TECH CENTER: Site plan application for the development of data center buildings."
"GBOND-2026-0012","Grading - Grading Bond","Active Bond","","01/16/2026","","","Plan","42455 ALLEGRO LN ALDIE VA 20105","202260981000","Clearing and grading for the construction of a Data Center (EPLAN-2023-0104)"
"EPLAN-2024-0077","Engineering Plan","In Review","","06/17/2024","","","Plan","21300  COACH GIBBS DR  ASHBURN VA 20147","042363888000","Site Plan for development of 3 Data Center Buildings"
"SPEX-2000-0035      ","Special Exception","Withdrawn","","08/22/2000","","","Plan","1501 MORAN RD STERLING VA 20166","045466536000","MORAN ROAD DATA CENTER : Special exception approval to allow a Data Center."
"EPLAN-2024-0062","Engineering Plan","Approved","","05/13/2024","","","Plan","21780  FILIGREE CT  ASHBURN VA 20147","061394321000","DIGITAL FILIGREE DATA CENTER: Modified Processing (Fast-Track) for proposed Data Center building, with improvements including but not limited to a proposed guard booth, proposed drives aisles, parking, utilities, SWM facilities, sanitary sewer lines, water lines, and landscaping."
"EPLAN-2026-0083","Engineering Plan","In Review","","06/17/2026","","","Plan","24402  STONE SPRINGS BLVD  STERLING VA 20166","162154753000","Site Plan for 2 proposed Data Center buildings, guard booth and all associated infrastructure."
"EPLAN-2026-0140","Engineering Plan","Submitted - Online","","09/17/2026","","","Plan","20100  SYCOLIN RD  LEESBURG VA 20175","193462583000","This plan proposes the development of two data center buildings with associated infrastructure and construction of proffered road improvmeents along Sycolin Road"
"SPEX-2026-0038","Special Exception","In Review","","06/26/2026","","","Plan","22745  RELOCATION DR  STERLING VA 20166","045175529000","SEE LEGI-2026-0019 FOR DOCUMENTS, TIMELINE AND WORKFLOW. Relocation Drive Data Center-- A Special Exception to permit the redevelopment of existing Data Center uses."
"LEGI-2026-0019","Legislative Land Development Application","In Review","","06/26/2026","","","Plan","22745  RELOCATION DR  STERLING VA 20166","045175529000","Relocation Drive Data Center: A Zoning Concept Plan Amendment and Special Exception to permit the redevelopment of existing Data Center uses at a 0.86 FAR."
"EPLAN-2024-0036","Engineering Plan","In Review","","04/02/2024","","","Plan","23965  CARTERS SCHOOL RD  STERLING VA 20166","124105978000","STPL- Proposed redevelopment of existing parking lot into 4 data center buildings with associated improvements"
"PSUB-2018-0037      ","Site Plan Premeeting","Completed","","10/01/2018","","","Plan","24282 QUAIL RIDGE LN ALDIE VA 20105","203356654000","ST. JOHN PROPERTIES DATA CENTER : Data Center"
"STMP-2022-0022      ","Engineering Plan","Approved","","10/26/2022","","","Plan","21800 BEAUMEADE CIR ASHBURN VA 20147","061307718000","H5 DATA CENTER : REQUEST APPROVAL OF A SITE PLAN (STMP) FOR A MULTI-STORY DATA CENTER  AND ASSOCIATED INFRASTRUCTURE IN THE PD-IP ZONING DISTRICT.           ZDF"
"EPLAN-2024-0188","Engineering Plan Revision","Approved","","11/21/2024","","","Plan","44371  GIGABIT PLZ  ASHBURN VA 20147","088407447000","NTT VA7 DATA CENTER: SPAM of STMP-2021-0005 to revise Bldg VA7 to the new prototype."
"EPLAN-2024-0154","Engineering Plan","In Review","","10/16/2024","","","Plan","22570 SHAW RD Unit: 100 STERLING VA 20166","033357335000","(Conditionally Approved) DULLES ELECTRIC DATA CENTERS: Construction of two 2-story data center buildings and associated infrastructure."
