Case Number,Type,Status,Project Name,Issued Date,Applied Date,Expiration Date,Finalized Date,Module Name,Address,Main Parcel,Description
"AMUSEC-2023-008659","Amusement Device - Construction","Void","","","10/04/2023","","","Permit","41975  LOUDOUN CENTER PL  LEESBURG VA 20175","191169866000","test LF files"
"B00036580500","Building Commercial - Tenant Fit-Up","Finaled","","09/25/2001","08/24/2001","","05/03/2006","Permit","22995 WILDER CT STERLING VA 20166","046368231000","TENANT FIT-UP ENTIRE BUILDING"
"B00112490100","Building Commercial - Tenant Fit-Up","Finaled","","05/19/2010","05/11/2010","","04/20/2011","Permit","22995 WILDER CT STERLING VA 20166","046368231000","TENANT FIT UP/NEW DATA CENTER"
"B00157090100","Building Commercial - Alteration","Finaled","","09/08/2010","08/31/2010","","12/01/2010","Permit","22001 LOUDOUN COUNTY PKWY ASHBURN VA 20147","061253412000","INTERIOR REMODEL"
"B00168120100","Building Commercial - Tenant Fit-Up","Finaled","","10/19/2010","10/01/2010","","12/13/2010","Permit","43915 DEVIN SHAFRON DR Unit: # 165 ASHBURN VA 20147","089382215000","FUTURE TENANT FIT UP"
"B00168130100","Building Commercial - Tenant Fit-Up","Finaled","","10/19/2010","10/01/2010","","11/22/2010","Permit","43915 DEVIN SHAFRON DR Unit: # 105 ASHBURN VA 20147","089382215000","FUTURE TENANT FIT UP"
"B00168340100","Building Commercial - Tenant Fit-Up","Finaled","","10/19/2010","10/04/2010","","12/13/2010","Permit","43915 DEVIN SHAFRON DR Unit: # 103 ASHBURN VA 20147","089382215000","FUTURE TENANT FIT UP"
"B00225670100","Building Commercial - Tenant Fit-Up","Finaled","","03/10/2020","02/13/2020","","01/29/2021","Permit","21741 RED RUM DR Unit: 120 ASHBURN VA 20147","088392214000","TENANT FIT UP"
"B00225730100","Building (Commercial) - Other - Legacy","Finaled","","03/10/2020","02/13/2020","","04/01/2021","Permit","21741 RED RUM DR Unit: 120 ASHBURN VA 20147","088392214000","MECHANICAL YARD"
"B00227720100","Building Commercial - New Construction","Finaled","","03/17/2020","02/18/2020","","10/22/2021","Permit","19515 COMPASS CREEK PKWY LEESBURG VA 20175","235297431000","NEW DATA CENTER"
"B00256750100","Building Commercial - Tenant Fit-Up","Finaled","","05/14/2020","04/06/2020","","12/23/2020","Permit","45200 VANTAGE DATA PLZ STERLING VA 20166","044288975001","TENANT FIT UP"
"B00263150100","Building Commercial - Addition","Finaled","","05/04/2020","04/20/2020","","12/06/2021","Permit","19515 COMPASS CREEK PKWY LEESBURG VA 20175","235297431000","ADDITION TO EXISTING DATA CENTER"
"B00263240100","Building Commercial - New Construction","Finaled","","08/24/2020","04/20/2020","","03/01/2022","Permit","19525 COMPASS CREEK PKWY LEESBURG VA 20175","235297431000","NEW DATA CENTER"
