source,query_or_url,filters,export_or_pull_date,date_basis,row_count,file_path,sha256,duplicate_of,notes
Virginia DEQ 2015 criteria emissions inventory,DEQ website CSV; exact download URL unverified,Published 10-ton or 100-ton facility list; 2015,2026-09-19,local_file_modified_date; unverified as pull date,109.0,data/raw/2015_criteria_emissions_100tons.csv,f8963d9f71e3114d0a73996ecda110ffef51797cab56e41af7638ff62485388b,,Facility-wide reported criteria emissions; not permit limits or generator-specific measurements.
Virginia DEQ 2015 criteria emissions inventory,DEQ website CSV; exact download URL unverified,Published 10-ton or 100-ton facility list; 2015,2026-09-19,local_file_modified_date; unverified as pull date,593.0,data/raw/2015_criteria_emissions_10tons.csv,452462289d86156be4f0e389d83c2d10f54c2c58a5a5b498a583406fc7fc94db,,Facility-wide reported criteria emissions; not permit limits or generator-specific measurements.
"JLARC, Data Centers in Virginia",Local PDF; publication URL not supplied,December 2024 report,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/JLARC_report.pdf,d794e060d2697b41ac69aa6133cf73ea0473433736e4e1ab85d26df219383322,,Published report; local file delivery date unverified.
Loudoun County LandMARC,"LandMARC export; search phrase ""data center""",Plan or Permit tier; delivered export,2026-09-19,local_file_modified_date; unverified as pull date,1000.0,data/raw/LandMARC_Plans_DataCenters.csv,376973556cb43c0bfacf1537fe544a7ea960dd2c41b924742afd6d177fa30880,,Export query details beyond filename are unverified.
Loudoun County LandMARC,"LandMARC export; search phrase ""data center""",Plan or Permit tier; delivered export,2026-09-19,local_file_modified_date; unverified as pull date,1000.0,data/raw/LandMARC_permits_112015_112020.csv,dc1e1e45b88027a58ab3187e081f0aef0313f0c4ccd904937219a3bdaf5718b0,,Export query details beyond filename are unverified.
Loudoun County LandMARC,"LandMARC export; search phrase ""data center""",Plan or Permit tier; delivered export,2026-09-19,local_file_modified_date; unverified as pull date,1000.0,data/raw/LandMARC_permits_112026_9152026.csv,dc1e1e45b88027a58ab3187e081f0aef0313f0c4ccd904937219a3bdaf5718b0,data/raw/LandMARC_permits_112015_112020.csv,Export query details beyond filename are unverified.
Loudoun County LandMARC,"LandMARC export; search phrase ""data center""",Plan or Permit tier; delivered export,2026-09-19,local_file_modified_date; unverified as pull date,1000.0,data/raw/LandMARC_permits_122020_112023.csv,dc1e1e45b88027a58ab3187e081f0aef0313f0c4ccd904937219a3bdaf5718b0,data/raw/LandMARC_permits_112015_112020.csv,Export query details beyond filename are unverified.
Loudoun County LandMARC,"LandMARC export; search phrase ""data center""",Plan or Permit tier; delivered export,2026-09-19,local_file_modified_date; unverified as pull date,1000.0,data/raw/LandMARC_permits_122023_112025.csv,dc1e1e45b88027a58ab3187e081f0aef0313f0c4ccd904937219a3bdaf5718b0,data/raw/LandMARC_permits_112015_112020.csv,Export query details beyond filename are unverified.
Loudoun County LandMARC,"LandMARC export; search phrase ""data center""",Plan or Permit tier; delivered export,2026-09-19,local_file_modified_date; unverified as pull date,1000.0,data/raw/LandMARC_permits_122025_112026.csv,dc1e1e45b88027a58ab3187e081f0aef0313f0c4ccd904937219a3bdaf5718b0,data/raw/LandMARC_permits_112015_112020.csv,Export query details beyond filename are unverified.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/115413_DC_Permit.pdf,2312a0c56485c89fa02c6224ca89698f1a2a09a168575173fe5a98ab4b255b68,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/11790_DC_Permit.pdf,669aeb79d408fd2441aa752745d36a9ed7a0438ee4ec00f87d2a573f51270513,,Local PDF preserves permit text but not its download URL.
